Drug Name,Drug ID
Poly Iron,1386-9774
Poly Vitamin with Fluoride,1662-6143
Poly-Dex,816-424
Poly-Tussin AC,2898-12908
Poly-Vent DM,850-12596
Poly-Vent IR,1213-12593
Poly-Vi-Flor,1662-6142
Poly-Vi-Flor with Iron,1664-9077
Polycin,316-17712
Polysporin First Aid Antibiotic Ointment,315-18243
Polytrim,1896-8814
Pomada Dragon Pain Relief,3687-18841
Pomalyst,3453-16073
Pombiliti,4537-20581
Pontocaine,2172-10005
Pontocaine HCl,2170-5141
Ponvory,4247-19718
Portia,1042-6791
Portrazza,3716-17646
Posluma,4494-20397
Posture,482-9753
Potaba,1906-66
Poteligeo,3947-18922
Potiga,3330-15370
Pradaxa,3266-14847
Praluent,3643-17484
Pramox-HC,2499-13816
PrandiMet,2834-12710
Prandin,2000-1287
Pravachol,1929-1242
Pravigard Pac,269-10857
Praxbind,3695-17595
PreHevbrio,3251-19902
Precedex,835-10688
Pred Forte,1934-1612
Pred Mild,1934-6680
Pred-G,1171-8817
Pred-G S.O.P.,1171-8816
Prednisol,1934-6681
Pregnyl,656-321
Premarin,2360-381
Premarin Vaginal,738-10576
Premphase,739-379
Prempro,739-380
Prenatal DHA,1749-17258
Prenatal Multivitamins,1666-12972
Preparation H Cooling Gel,2528-18668
Preparation H Maximum Strength,4029-19163
Preparation H Medicated Wipes,2313-12678
Preparation H Multi-Symptom,4029-19267
Preparation H Suppositories,2528-18667
Prepidil,895-464
Prepopik,3405-15778
Pres Gen,847-16514
Pres Gen Pediatric,847-15942
Presgen B,422-17243
Prestalia,3595-16960
Prevacid,1433-849
Prevacid NapraPAC,1434-1049
Prevacid OTC,1433-14813
Prevacid SoluTab,1433-850
Prevalite,648-318
Prevduo,4458-20315
Preven EC,1042-6781
Prevident,1110-10577
Previfem,1045-9724
Prevnar 20,4274-19767
Prevpac,188-2412
Prevymis,3873-18709
Prezcobix,3600-17084
Prezista,786-2432
Prialt,2321-2344
Priftin,2013-1299
Priloheal Plus 30,1468-19809
Prilosec,1750-1118
Prilosec OTC,1750-1709
Primadophilus Bifidus,3205-18443
Primatene Mist,989-4189
Primaxin IV,667-1998
Primlev,72-14922
Primsol,2250-1494
Prinivil,1476-881
Pristiq,2796-12488
Privigen,1325-12416
Privine,2388-1048
Pro-Banthine,1951-1261
Pro-Chlo,3389-16010
ProAir Digihaler,109-19029
ProAir RespiClick,109-17293
ProCentra,843-13896
ProFe,1386-15030
ProQuad,1533-11038
Probiotic Formula,3205-15943
Probuphine,438-18012
Procardia,1717-1075
Procardia XL,1717-1077
Prochieve,2414-11737
Procrit,998-546
Proctocort,2378-11903
Proctosol-HC,2378-11905
Proctozone HC,2378-11966
Procysbi,766-16175
Prodigen,3205-19429
Prodium,1835-3642
Proferrin-ES,1233-11011
Profilnine,1064-19461
Proglycem,863-442
Prograf,2142-1393
Prohance,1151-9817
Prolate,72-19400
Prolensa,413-16158
Proleukin,112-43
Prolex D,1208-7903
Prolia,3238-14600
Promacta,3014-13453
Promethazine DM,856-7528
Promethazine VC Plain,1857-7270
Promethazine VC with Codeine,723-7609
Promethegan,1949-4360
Prometrium,2414-11608
Pronto Lice Kill System,1879-10056
Propecia,1091-625
Propel,2416-18739
Propoven,1954-14816
Proprinal,1310-15854
Proquin XR,672-2556
Proscar,1091-626
Prostin E2,895-4049
Protonix,1790-1152
Protopam Chloride,1924-5633
Protopic,2143-1394
ProvayBlue,1604-17992
Provella,3205-15946
Provenge,3232-14528
Proventil,109-41
Provera,1543-930
Provigil,1647-1020
Prozac,1115-648
Prudoxin,936-9714
Pryflex,654-12465
Pseudovent,1213-7850
Psorcon,880-5354
Psoriasin,712-12677
Psoriasin Medicated Wash,2037-17259
Psoriatar,712-18182
Pulmicort Flexhaler,431-2523
Pulmicort Respules,431-198
Pulmicort Turbuhaler,431-197
PulmoSal,2410-17261
Pulmozyme,929-495
Purixan,1565-16558
Pylera,388-11225
Pyridium,1835-1186
Pyrukynd,4342-19986
Pyzchiva,3175-20776
Quadracel,2836-17288
Qualaquin,1982-3692
Quartette,1042-16154
Quasense,1042-6794
Qudexy XR,2216-16396
Questran,648-319
Questran Light,648-3265
Quflora,1662-16796
Quflora FE,1664-18487
QuilliChew ER,1606-17776
Quillivant XR,1606-15898
Quin-G,1981-2625
QuinZyme,2273-13771
Qulipta,4301-19843
Qutenza,492-14225
Quviviq,4332-19925
R A Acne,2003-10120
REGEN-COV,4223-19734
RID Home Lice Control Spray for Surfaces,1831-12509
RabAvert,1986-11116
RadiaGuard,1465-17262
RadiaPlexRx,2084-11044
Radicava,3808-18479
Radiogardase,1963-11219
Ragwitek,3538-16871
Ranexa,1993-1284
Rapaflo,2960-13388
Rapamune,2069-1360
Rapiblyk,4657-20934
Rapivab,3293-16935
Raptiva,962-524
Rash Relief Antifungal,1627-15355
Rasuvo,1590-16712
Ravicti,3452-16070
Rayaldee,458-18096
Rayos,1936-15789
Razadyne,1153-679
Re-Azo,1835-3641
Rea-Lo,2277-4106
React,1461-18355
Realheal-I,1468-19765
Rebetol,2009-1293
Rebif,1360-2274
Rebif Rebidose,1360-16030
Rebinyn,710-18548
Reblozyl,4100-19271
Rebyota,4417-20226
Recarbrio,4025-19152
Reclast,2331-10724
Reclipsen,807-9732
Recombinate,216-11192
Recombivax HB Adult,3251-14662
Recombivax HB Dialysis Formulation,3251-14663
Recombivax HB Pediatric/<wbr>Adolescent,3250-14658
Recorlev,4330-19922
RectiCare,1465-16517
Rectiv,2342-15381
RediTrex,1590-19328
Redness Relief,2174-4318
Refissa,2230-14092
Refresh,1740-9381
Refresh Contacts,1740-9432
Refresh Digital,1740-19697
Refresh Digital PF,1740-19698
Refresh Dry Eye Therapy,1740-12528
Refresh Endura,1740-9437
Refresh Eye Itch Relief,1417-12605
Refresh Liquigel,1740-9415
Refresh Optive,1740-17265
Refresh Optive Advanced,1740-17266
Refresh Optive Mega-3,1740-18580
Refresh PM,1740-9402
Refresh Plus,1740-9391
Refresh Relieva,1740-19699
Refresh Relieva PF,1740-19700
Refresh Repair,1740-20255
Regenecare HA Spray,1465-16518
Regener-Eyes Lite,1740-20667
Regimex,361-16194
Reglan,1612-984
Regranex,325-149
Relafen,1674-1037
Relagard,87-9026
Relamine,654-10636
Relcof C,719-15031
Relenza,2320-1536
Releuko,1090-19989
Relexxii,1606-18949
ReliOn/Novolin 70/30,1348-12271
Relief-PE,42-17267
Relion Grape,2371-17556
Relistor,2827-12617
Relpax,967-2107
Reltone,2281-19701
Remedy Antifungal with Olivamine,1626-16519
Remergent HQ,1295-5538
Remeron,1640-1015
Remeron SolTab,1640-1014
Remeven,2277-13034
Remicade,1336-797
Remodulin,2229-1480
Remular-S,645-4700
Renagel,2058-1349
Renflexis,1336-18465
Renova,2230-1483
Renvela,2058-12463
Repatha,3677-17520
Replesta,646-15947
Requip,2027-1312
Requip XL,2027-12706
Rescon,833-16011
Rescon-DM,614-7716
Rescon-GG,1208-1812
Resinol,2003-13536
Respaire-30,1213-13725
Resperal-DM,424-7660
Restasis,764-396
Restoril,2153-1402
Retacrit,998-18845
Retavase,2007-1289
Retevmo,4151-19456
Retin-A,2230-1482
Retisert,1104-1690
Retrovir,2322-1537
Revatio,2061-2030
Revcovi,3970-18973
Revia,1684-1045
Revlimid,1441-2404
Revuforj,4654-20920
Reyataz,272-125
Reyvow,4095-19240
Rezdiffra,4591-20701
Rezenopy,1682-20735
Rezlidhia,4418-20227
Rezurock,4278-19784
Rezzayo,4461-20318
Rhinall,2529-11607
Rhinaris,2949-14444
Rhinocort Allergy,2831-17297
Rhinocort Aqua,2831-12975
RhoGAM,2008-2221
RhoGAM Ultra-Filtered Plus,2008-12148
Rhofade,3783-18354
Rhophylac,2008-1291
Rhopressa,3880-18748
Rhuli Gel,485-19527
RiVive,1682-20536
RiaSTAP,3105-13641
Riabni,2022-19667
Riax,354-17273
RibaPak,2009-3047
RibaTab,2009-13772
Ribasphere,2009-1294
Rid Pediculicide,1879-10046
Ridactate,481-9752
Ridaura,291-136
Rilutek,2015-1300
Rimso-50,894-13566
Rinnovi Nail System,2277-12123
Rinvoq,4084-19183
Riomet,1573-955
Riomet ER,1573-19187
Risa-Bid,1424-17274
RisaQuad,1424-12454
Risperdal,2019-1305
Risperdal Consta,2019-1304
Ristela,4446-20292
Risvan,2019-20717
Ritalin,1606-979
Ritalin LA,1606-1578
Rituxan,2022-1307
Rituxan Hycela,3814-18545
Rivelsa,1042-18452
Rivfloza,4538-20584
Rixubis,710-16243
RizaFilm,2024-20334
Robafen,1200-4419
Robafen CF,847-8349
Robafen Cough Liquidgels,844-3354
Robaxin,1588-964
Robaxin-750,1588-4703
Robitussin Chest Congestion,1200-4453
Robitussin Children's Cough & Cold CF,847-14095
Robitussin Children's Cough Long-Acting,844-3315
Robitussin Cold Cough and Flu,58-10279
Robitussin Cough & Cold D,850-8384
Robitussin Cough + Chest Congestion DM,846-8263
Robitussin Cough + Chest Congestion DM Maximum Strength,846-12676
Robitussin Cough Drop,2767-12047
Robitussin Multi-Symptom Cold CF,847-17623
Robitussin Nighttime Cough DM,2950-16538
Robitussin Peak Cold Daytime Cold + Flu,59-15874
Robitussin Peak Cold Nasal Relief,78-15476
Robitussin Peak Cold Nighttime Cold + Flu,53-15875
Robitussin Peak Cold Nighttime Nasal Relief,42-15471
Robitussin Severe Congestion,1213-7842
Rocaltrol,461-220
Rocephin,557-281
Rocklatan,3998-19077
Roctavian,4512-20472
Rogaine,1639-1013
Rohto Dry-Aid,1740-20257
Rolaids Advanced,471-17814
Rolaids Regular Strength,470-224
Rolaids Ultra Strength,470-17815
Rolvedon,4393-20142
Rosadan,1618-16330
Roszet,4249-19720
RotaTeq,2032-10423
Rotarix,2032-12602
Rowasa,2336-5003
Roxicet,72-1133
Roxicodone,1770-1139
RoxyBond,1770-18469
Rozerem,1988-2262
Rozlytrek,4082-19181
Ru-Hist D,427-17281
Ru-Hist Forte,636-1849
Rubraca,3778-18328
Ruconest,3627-17392
Rulox,145-14339
Ruxience,2022-19155
Ryaltris,4334-19929
Rybelsus,3878-19199
Rybrevant,4261-19747
Ryclora,824-18981
Rydapt,3804-18471
Rylaze,3367-19774
Rymed,832-17280
Rynex DM,422-15633
Rynex PE,427-16183
Ryplazim,4275-19770
Rystiggo,4509-20469
Rytary,515-16942
Rytelo,4616-20756
Rythmol,1950-2268
Rythmol SR,1950-1260
Ryvent,516-18434
Ryzneuta,4567-20635
Ryzodeg 70/30,3694-17547
Ryzolt,2221-13642
SMZ-TMP DS,2128-3118
Sabril,3169-13990
Saccharomyces Boulardii+MOS,2035-17808
Safetussin CD,852-11119
Safetussin DM,846-16521
Safetussin PM,2950-15405
Safyral,3265-14995
Saizen,2100-1717
Salagen,1870-2263
Saline Mist,2949-13312
SalivaMAX,2534-18337
Salivart,2534-11666
Salmon Oil,1749-20512
Salonpas Pain Patch,1601-9112
Salonpas Pain Relieving Patch,3687-19450
Salonpas-Hot,492-19494
SaltAire,2949-14864
Salvax,2037-13680
Salvax Duo,2040-13981
Salvax Duo Plus,2040-15660
Sambucol,2614-19413
Samsca,3141-13839
Sanctura,2264-1502
Sanctura XR,2264-12472
Sancuso,1197-13157
Sandostatin,1739-1107
Sani-Supp,3159-13955
Sani-pads with Aloe,1190-9361
Santyl,735-5507
Saphnelo,4287-19800
Saphris,3168-13988
Sarclisa,4138-19410
Sarna,485-10805
Sarnol-HC,2378-11942
Satogesic,1601-9133
Satogesic Hot Gel,1601-9119
Satogesic Pad,1601-9118
Savaysa,3584-16943
Savella,3101-13615
Saxenda,3189-16938
Sayman Soap with Witch Hazel,2313-9356
Scalpicin Scalp Relief,2037-5501
Scemblix,4307-19858
Scenesse,4094-19238
Schiff Antarctic Krill and Fish Oil Blend,1749-20513
Schiff Move Free,654-10630
Scot-Tussin Allergy,896-15102
Scot-Tussin DM,609-17314
Scot-Tussin Diabetes,844-17315
Scot-Tussin Expectorant,1200-4400
Scot-Tussin Senior,846-8220
Scrub Care Exidine,588-17947
Sea Soft,2949-13316
Sea-Omega,1749-3869
Seasonale,1042-864
Seasonique,1042-2471
Seb-Prev,2122-1382
Sectral,10-6
Secuado,3168-19244
Secura Antifungal,1626-6606
Secura Antifungal Extra Thick,1626-6607
Seebri Neohaler,1192-17613
Seglentis,4306-19852
Segluromet,3885-18756
SelRx,2053-16522
Selarsdi,3175-20730
Seldane,2164-13552
Selenium TR,2052-3856
Selsun Blue,2053-6667
Selsun Blue 2-in-1,2053-18266
Selsun Blue Medicated,2053-18263
Selsun Blue Moisturizing,2053-18264
Selsun Blue Naturals Itchy Dry Scalp,2037-18270
Selzentry,1528-2562
Semglee,1344-19477
Senexon-S,924-15191
Senna Lax,2054-4830
Senna Plus,924-490
Senna S,924-8743
Senna-Time S,924-19230
SenoSol,2054-4842
SenoSol-SS,924-8747
SenoSol-X,2054-4843
Senokot,2054-1344
Senokot S,924-491
Sensipar,670-328
Sensorcaine,434-202
Sensorcaine-MPF,434-3236
Septocaine,237-10704
Septra,2128-1385
Serevent Diskus,2041-1330
Sernivo,371-17923
Seromycin,762-392
Seroquel,1979-1274
Seroquel XR,1979-2549
Serostim,2100-1369
Serzone,1698-9757
Setlakin,1042-16893
Sevenfact,711-19432
Seysara,3967-18970
Signifor,3435-16022
Signifor LAR,3435-16930
Siklos,1302-18758
Siladryl Allergy,896-13169
Silapap Childrens,11-2715
Silenor,935-14450
Silfedrine,1964-12125
Siliq,3786-18367
Silphen Cough,896-3416
Siltussin,1200-4423
Siltussin DM,846-8250
Siltussin DM DAS Cough Formula,846-8251
Siltussin-DM DAS-NA,846-12217
Siltussin-DM DAS-NA Maximum Strength,846-12218
Silvadene,2064-1353
Simbrinza,3468-16172
Simcor,2797-12489
SimePed,2065-16207
Simlandi,102-20691
Simliya,807-18466
Simpesse,1042-18464
Simply Neosporin,315-19977
Simply Saline,2949-13317
Simply Sleep,896-469
Simponi,3128-13751
Simponi Aria,3128-16268
Simulect,323-148
Sinarest,46-7301
Sine-Off Maximum Strength,82-6901
Sinemet,515-250
Sinemet CR,515-249
Singulair,1654-1024
Sinus Congestion and Pain Daytime Cool Ice,78-15371
Sinutab Non Drying,1213-7841
Sinuva,2416-18741
Sirturo,3439-16027
Sitavig,100-17235
Sivextro,3537-16580
Skelaxin,1572-951
Skyclarys,4452-20301
Skyla,1461-16034
Skyrizi,4008-19110
Skytrofa,4294-19815
Sleep-ettes D,896-13170
Sleepinal,896-3429
Slo-Niacin,1711-1065
Sloan's Liniment,492-12156
Slow Fe,1082-1770
Slow Release Iron,1082-9792
Slow-Mag,3384-15635
Slynd,4018-19128
Smart Heart,1749-20514
Soaanz,2219-19768
Sochlor,2077-9869
Sofdra,4619-20766
Sogroya,4188-19540
Sohonos,4529-20552
Solaraze,871-446
Solarcaine Burn Relief,1465-4152
Solesta,3514-16523
Soliqua,3776-18292
Soliris,958-2561
Solodyn,1636-2425
Solosec,3865-18641
Soltamox,2145-2458
Solu-Cortef,2379-2188
Solu-Medrol,1607-1957
SoluCLENZ Rx,354-13373
Soma,527-263
Somatuline Depot,2798-12490
Somavert,1808-1161
Sominex,896-3431
Sonata,2319-1535
Soothe,1740-9429
Soothe Caplets,391-19430
Soothe Night Time,1740-20258
Soothe XP,1740-14842
Soriatane,98-28
Sorilux,459-14832
Sotradecol,2095-1366
Sotret,1403-5229
Sotyktu,4392-20140
Sovaldi,3504-16376
Soya Lecithin,1439-9092
Spevigo,4386-20114
Spikevax,4637-20829
Spinraza,3779-18329
Spiriva,2202-10791
Sporanox,1406-832
Spravato,3996-19074
Sprintec,1045-9720
Spritam,1448-17487
Sprix,1415-14597
Sprycel,787-2439
Stahist AD,3369-15664
Stalevo 100,514-10849
Stalevo 125,514-13122
Stalevo 150,514-10850
Stalevo 200,514-12278
Stalevo 50,514-10848
Stalevo 75,514-13123
Stanback,248-15979
Starlix,1695-1054
Stavzor,2286-12881
Staxyn,2290-14615
Stay Awake,450-4498
Steglatro,3883-18754
Steglujan,3884-18755
Stelara,3175-14009
Stendra,3390-15672
Sterile Lubricating Tears,1740-20259
Stimate,806-13010
Stimufend,1805-20113
Stiolto Respimat,3625-17385
Stivarga,3420-15897
Stopain,2767-12028
Stoppers 4 Dry Mouth,2534-16526
Strattera,275-1683
Strensiq,3700-17602
Stri-Dex,2037-5415
Stri-Dex Clear Gel,2037-5418
Stri-Dex Face Wash,2037-5419
Stri-Dex Maximum Strength,2037-15193
Stri-Dex Sensitive Skin,2037-5416
Striant,2167-1636
Stribild,3412-15858
Striverdi Respimat,3547-16720
Stromectol,1407-833
Stye Sterile Lubricant,1740-9431
Su-Tuss HD Elixir,1205-8308
SuTan,833-10781
SuTan-DM,827-10789
Sublocade,438-18731
Suboxone,439-2040
Subsys,1074-15533
Subutex,438-2034
Subvenite,1430-18832
Sucraid,2036-1318
Sudafed Children's Nasal Decongestant,1964-4279
Sudafed Congestion,1964-16108
Sudafed OM Sinus Cold,2390-13375
Sudafed PE Congestion,1853-16109
Sudafed PE Non-Drying Sinus,1208-13378
Sudafed PE Pressure+Pain+Cough,59-16110
Sudafed PE Severe Cold,65-11047
Sudafed PE Sinus Pressure + Pain,78-15873
SudoGest,1964-4274
Suflave,3155-20454
Sular,1720-1080
Sulfacleanse 8/4,2123-16329
Sulfamylon,1504-907
Sulfazine,2130-3702
Sulfoam,2134-9196
Sulpho-Lac Soap,2134-9193
Sumadan,2123-15507
Sumavel DosePro,2136-13926
Sumaxin,2123-14290
Summers Eve,2773-11715
Sumycin,2173-1421
SunMark ClearLax,1893-14291
Sunkist Vitamin C,238-3827
Sunlenca,4421-20239
Sunosi,4000-19082
Supartz,2083-2173
Supartz FX,2083-18280
Superdophilus,1424-9049
Suphedrin,1964-15978
Suphera,2123-10096
Supprelin LA,1246-4034
Suprax,545-2550
Suprenza,1851-15379
Suprep Bowel Prep Kit,3258-14977
Supress A Pediatric,818-16098
Supress-DX,847-15980
Supress-PE,1208-16528
SureLac,1421-2210
Surfaxin,3383-15620
Survanta,367-11274
Sustiva,963-525
Sustol,1197-18145
Susvimo,1990-19855
Sutab,4202-19606
Sutent,2138-2339
Syeda,947-15268
Syfovre,4449-20297
Sylatron,1807-15290
Sylvant,3526-16555
SymPak II,2928-13174
Symbicort,432-2530
Symbyax,1116-1111
Symdeko,3892-18784
Symfi,3896-18821
Symfi Lo,3896-18803
Symjepi,989-18534
Symlin,1926-2219
SymlinPen 120,1926-12370
SymlinPen 60,1926-12369
Sympazan,3350-18996
Symproic,3795-18430
Symtuza,3926-18893
Synagis,1782-1149
Synalar,1103-637
Synarel,1676-1039
Syndros,943-18120
Synera,1469-11014
Synjardy,3676-17519
Synjardy XR,3676-18311
Synribo,3428-15958
Synthetic Conjugated Estrogens A,738-13512
Synthroid,1463-869
Synvisc,1304-776
Synvisc-One,1304-13774
Syprine,2240-1491
Systane,1740-9422
Systane Balance,1740-15200
Systane Complete,1740-19829
Systane Hydration PF,1740-19830
Systane Nighttime,1740-13633
Systane Overnight Therapy,1740-17343
Systane Ultra,1740-13434
Systane Ultra Preservative Free,1740-14357
TOBI Podhaler,2206-16149
TRUEplus,2371-16039
TabTussin DM,846-18346
Tabloid,2182-1432
Taclonex,372-2326
Tactinal,11-12982
Tadliq,2144-20078
Tafinlar,3475-16220
Tagamet HB,669-3132
Tagrisso,3709-17627
Take Action,1461-18579
Takhzyro,3954-18932
Talicia,4098-19253
Taltz,3735-17966
Talzenna,3971-18979
Tambocor,1094-2330
Tamiflu,1758-1124
Tannic-12 S,502-244
Tanzeum,3524-16550
Tapazole,1586-963
TaperDex,810-18792
Tarceva,1007-1620
Targiniq ER,3545-16715
Targretin,378-2169
Targretin Gel,379-2197
Tarina 24 Fe,1044-19055
Tarina Fe 1/20,1044-17738
Tarpeyo,431-19912
Tarsum,712-17344
Tascenso ODT,3264-19924
Tasigna,2785-12475
Tasmar,2212-1460
Tavalisse,3908-18836
Tavist Allergy,687-4332
Tavist ND,1486-1714
Tavist Sinus,82-6922
Tavneos,4305-19849
Taxol,1778-1147
Taxotere,920-485
Taysofy,1044-19827
Taytulla,1044-18221
Tazicef,554-278
Tazorac,2148-1398
Tazverik,4127-19378
Tears Again,1740-2328
Tears Naturale,1740-9382
Tears Naturale Forte,1740-9414
Tears Naturale II,1740-9384
Tears Naturale PM,1740-9412
Tecartus,4169-19505
Tecelra,4629-20808
Tecentriq,3750-18011
Tecentriq Hybreza,4639-20850
Tecfidera,3464-16152
Technivie,3641-17482
Tecvayli,4409-20188
Teflaro,3279-14871
Tegretol,497-234
Tegretol XR,497-236
Tegrin Medicated,712-9207
Tegrin-LT Lice Treatment Kit,1879-10041
Tegsedi,3969-18972
Tekturna,124-2514
Tekturna HCT,2787-12477
Tembexa,4273-19766
Temodar,2154-1403
Temovate,696-349
Tempra Quicklets,11-2728
Tender Care,1431-13634
Tenoretic 100,274-6837
Tenoretic 50,274-6836
Tenormin,273-127
Tenuate,878-453
Tepadina,2185-16322
Tepezza,4126-19377
Tepmetko,4237-19691
Tepylute,2185-20775
Tequin,1161-683
Terazol 3,2163-1412
Terazol 7,2163-5193
Terlivaz,4394-20143
Tersi Foam,2053-12175
Tessalon Perles,353-156
Testim,2167-4006
Testopel Pellets,2167-12118
Testred,1609-982
Tetracap,2173-2657
Tetracon,2173-2659
Tetterine,1626-1000
Tevimbra,4592-20702
Tezspire,4324-19911
Thalomid,2176-1424
Theo-24,2177-3142
TherOmega,1749-15518
Thera-D Rapid Repletion,646-16041
TheraCran HP,750-17558
TheraCran HP for Kids,750-17352
TheraTears,1740-9397
TheraTears Contact Lens,1740-9416
Theraflu Flu & Sore Throat,77-11095
Theraflu Vapor Stick,485-10802
Theraflu Warming Relief Daytime Severe Cold & Cough,59-17355
Theramycin Z,1010-6640
Therapeutic,712-9215
Therapeutic Pain Relief,1601-9141
Thermazene,2064-1354
Thermoject,2410-15339
Thermotabs,1913-10362
Thiola,2201-1450
Thiola EC,2201-19145
Thymoglobulin,3255-14668
ThyroShield,1917-4494
Thyrogen,2190-1437
Tiazac,890-1659
Tibsovo,3927-18894
TicoVac,4290-19804
TicoVac Pediatric,4390-20135
Tigan,2249-1493
Tiger Balm,485-10808
Tiger Balm Active Muscle Rub,3687-19742
Tiger Balm Extra Strength,485-10809
Tiger Balm Pain Relieving Patch,3712-20486
Tiger Balm Ultra Strength,485-10810
Tiglutik,2015-18943
Tikosyn,925-492
Tilia Fe,1044-12178
Timoptic,2197-1445
Tinactin,2214-1464
Tinaderm,2214-14103
Tinaspore,2214-5329
Tindamax,2198-1447
Tineacide,2274-18968
Tip-Lok Diluent,2410-15341
Tirosint-Sol,1463-18315
Tisseel,2890-14012
Titralac,464-3782
Tivdak,4299-19839
Tivicay,3485-16288
Tivicay PD,3485-19479
Tobi,2206-1455
TobraDex,817-1454
Tobradex ST,817-13825
Tobrasol,2207-6686
Tobrex,2207-1457
Tofidence,3186-20583
Tofranil,1323-791
Tolak,1114-17543
Tolsura,1406-19020
Topamax,2216-1469
Topicort,809-420
Topicort LP,809-421
Toposar,1057-596
Toprol-XL,1615-3128
Toradol,1415-1726
Torisel,2155-2535
Tosymra,2136-19047
Totacillin-N,196-2569
Totect,839-12686
Toujeo Max SoloStar,1344-18814
Toujeo SoloStar,1344-17250
Tovet,696-19360
Toviaz,2962-13391
Tracleer,403-182
Tradjenta,3322-15296
Trandate,1420-843
Transderm-iQ,3381-19194
Tranxene T-Tab,706-1606
Travatan Z,2227-2461
Travel-Ease,1540-927
Trazimera,2226-19075
Treanda,2823-12614
Trecator,1048-586
Trelegy Ellipta,3866-18643
Trelstar,2258-14403
Tremfya,3826-18583
Trental,1826-1179
Tresiba,3693-17546
Trexall,1590-967
Treximet,2829-12620
Trezix,26-12393
Tri Vites with Fluoride and Iron,1664-9082
Tri-Estarylla,1045-16068
Tri-Legest Fe,1044-12177
Tri-Linyah,1045-15704
Tri-Lo-Estarylla,1045-17447
Tri-Lo-Marzia,1045-15863
Tri-Lo-Mili,1045-18286
Tri-Lo-Sprintec,1045-14104
Tri-Luma,1106-640
Tri-Mili,1045-18123
Tri-Norinyl,1044-6729
Tri-Nymyo,1045-19679
Tri-Sprintec,1045-1097
Tri-Vi-Flor,1662-6145
Tri-Vitamin with Fluoride,1662-6146
Tri-VyLibra,1045-18793
Tri-Vylibra Lo,1045-19053
TriCor,1071-611
TriHeal-80,4292-19805
TriLyte,3155-13937
TriNessa,1045-9722
TriaDime-80,4292-19836
Triaminic,637-14146
Triaminic Multi-Symptom Fever,37-15372
Triaminic Softchews Cold and Allergy,638-15342
Triaminic Softchews Cough & Runny Nose,609-7520
Triaminic Softchews Cough & Sore Throat,50-7761
Triaminic-D Multi-Symptom Cold,614-13488
Trianex,2233-15442
Triaz,354-158
Tribenzor,3246-14647
Tricitrates,682-9946
Tricode GF,721-15986
Tricosal,653-9069
Triderm,2233-6648
Tridesilon,808-418
Triesence,2799-12491
Trifena,4583-20678
Triferic,3598-17082
Triglide,1071-10394
Trijardy XR,4128-19379
Trikafta,4096-19246
Trilafon,1832-4643
Trileptal,1765-1129
Trilipix,3096-13508
Trilisate,653-9068
Trimo-San,1301-2216
Trimox,187-82
Trintellix,3490-18003
Triphasil,1042-6783
Triple Antibiotic,312-8800
Triple Paste AF,1626-13042
Triple Strength Red Krill Oil,1749-19797
Triple X Pediculicide,1879-10055
Triptodur,2258-18552
Triptone,892-4658
Trisenox,236-110
Trispec PSE,850-20538
Triumeq,3557-16866
Triumeq PD,3557-20044
Trivaris,2799-12702
Trivora,1042-6779
Trizivir,4-1
Trodelvy,4147-19440
Trogarzo,3898-18807
Trokendi XR,2216-16309
Tronolane Anesthetic for Hemorrhoids,1928-13777
Tropicacyl,2263-5123
Trudhesa,886-19826
Trulance,3782-18353
Trulicity,3562-16895
Trumenba,3571-16910
Truqap,4565-20633
Truseltiq,4265-19751
Trusopt,930-496
Trutol,2371-15358
Truvada,971-1696
Truxima,2022-19005
Tryvio,4595-20705
Tucks,2313-16064
Tucks Multi Care Relief Kit,4368-20063
Tudorza Pressair,3406-15788
Tukysa,4144-19436
Tums Antacid Naturals,464-19879
Tums Chewy Bites,464-18530
Tums Chewy Bites Ultra Strength,464-20366
Tums Chewy Delights,464-18531
Tums Extra Strength 750,464-3780
Tums Regular Strength,464-3778
Tums Smoothies,464-13128
Tums Smoothies Extra Strength,464-20384
Tums Sugar-Free,464-18969
Tums Ultra 1000,464-3796
Turalio,4032-19174
Tusicof,847-15990
Tusnel,850-15679
Tusnel C,721-15680
Tusnel Diabetic,846-13492
Tusnel Pediatric Drops,1213-16541
Tusnel-DM Pediatric Drops,850-13494
Tuss-DM,846-8176
Tussi-Pres,847-15991
Tussi-Pres B,422-15992
Tussi-Pres Pediatric,847-15993
TussiCaps,622-11685
Tussigon,1248-2114
Tussin,1200-4426
Tussin CF,847-12225
Tussin DM,846-8200
Tussin DM Max,846-17365
Tussin Expectorant,1200-4427
Tussin Mucus + Chest Congestion,1200-17366
Tussionex Pennkinetic,622-1602
Tusslin,847-17367
Tuxarin ER,605-17448
Tyblume,1042-19662
Tybost,3565-16900
Tycolene,11-2730
Tyenne,3186-20699
Tygacil,2194-1442
Tykerb,1436-2519
Tylenol,11-12
Tylenol Allergy Multi-Symptom,42-7324
Tylenol Children’s Cold + Cough + Sore Throat,50-18706
Tylenol Cold Max Day,59-17637
Tylenol Cold Multi-Symptom Nighttime Liquid,54-10767
Tylenol Cold Multi-Symptom Severe,56-11108
Tylenol PM,64-8542
Tylenol Plus Children's Cold,42-7328
Tylenol Sinus + Headache Day,78-17636
Tylenol Sinus Congestion & Pain Nighttime,42-7325
Tylenol with Codeine #3,48-8460
Tylenol with Codeine #4,48-8461
Tylox,72-8501
Tymlos,3805-18472
